Shares Number,Volume,Net Income,Dividends,Employee Amount,Previous Close,Analysts,Price Target,Earnings Date
215.51M,"964,674",997.00M,n/a,"14,100",255.26,Buy,269.24,"Aug 29, 2024"
411.54M,"2,235,625",-407.00M,n/a,"19,300",128.81,Buy,136.46,"Aug 1, 2024"
644.49M,"1,856,935",3.96B,$1.74,"29,128",82.08,Strong Buy,114.43,"Aug 22, 2024"
248.48M,"5,379,624",1.48B,n/a,"3,416",211.40,Buy,248.00,"Aug 1, 2024"
532.12M,"1,689,962",2.63B,$3.52,"17,250",98.25,Hold,94.54,"Jul 30, 2024"
333.57M,"2,225,763",2.07B,$1.47,"108,000",155.21,Strong Buy,167.89,"Aug 22, 2024"
491.58M,"2,053,190",253.36M,n/a,"3,115",105.00,Strong Buy,108.65,"Aug 8, 2024"
962.30M,"2,441,986",1.39B,n/a,"10,200",52.76,Hold,50.33,"Sep 12, 2024"
524.22M,"2,178,469",4.96B,$1.20,"32,400",96.46,Buy,111.27,"Oct 22, 2024"
142.74M,"609,488",4.65B,n/a,"101,100",348.73,Hold,374.27,"Oct 25, 2024"
1.36B,"3,425,913",2.18B,$0.86,"28,100",35.73,Buy,36.50,"Oct 24, 2024"
360.13M,"1,782,652",1.69B,$3.92,"16,600",130.00,Hold,122.62,"Sep 25, 2024"
979.54M,"3,747,652",1.69B,n/a,"6,003",46.65,Buy,55.24,"Aug 7, 2024"
48.75M,"495,993",410.98M,$5.00,"3,564",936.29,Strong Buy,912.30,"Aug 1, 2024"
536.51M,"5,537,490",1.37B,$1.82,"22,300",81.79,Strong Buy,99.20,"Aug 1, 2024"
214.30M,"777,251",1.28B,$1.04,"22,902",203.77,Hold,202.97,"Jul 24, 2024"
1.21B,"5,872,266",1.92B,$1.60,"36,000",35.91,Buy,37.75,"Jul 31, 2024"
260.03M,"1,959,200",-300.52M,n/a,"12,157",160.00,Buy,217.69,"Aug 1, 2024"
374.53M,"1,217,180",5.41B,n/a,"6,400",109.02,Buy,108.43,"Jul 30, 2024"
575.94M,"1,214,105",947.00M,$0.96,"8,525",70.35,Buy,70.27,"Oct 16, 2024"
82.31M,"275,146",845.63M,n/a,"11,000",488.13,Buy,579.43,"Aug 6, 2024"
337.15M,"1,379,587",163.08M,n/a,"5,200",117.23,Buy,139.70,"Aug 8, 2024"
1.46B,"26,763,178",4.28B,$0.74,"517,124",26.83,Strong Buy,37.33,"Aug 15, 2024"
264.20M,"1,439,751",1.15B,$0.76,"13,700",147.62,Buy,159.58,"Jul 30, 2024"
572.65M,"1,266,112",1.15B,$1.56,"23,201",68.10,Buy,69.29,"Oct 10, 2024"
456.66M,"1,410,953",1.58B,$0.12,"51,000",84.78,Buy,95.00,"Jul 31, 2024"
142.42M,"403,416",889.10M,$1.56,"7,500",268.15,Buy,272.33,"Jul 31, 2024"
495.66M,"1,785,723",2.20B,$1.20,"347,700",76.68,Hold,76.11,"Jul 31, 2024"
1.00B,"2,859,800",2.42B,$1.52,"19,962",37.79,Buy,39.67,"Aug 1, 2024"
460.37M,"1,002,372",1.73B,$2.03,"32,315",78.73,Strong Buy,78.11,"Aug 7, 2024"
58.56M,"8,941,171",1.21B,n/a,"5,126",613.24,Buy,953.42,"Aug 6, 2024"
128.38M,"614,942",-72.94M,n/a,"2,100",272.64,Buy,281.68,"Aug 1, 2024"
993.42M,"3,085,909",1.99B,$0.84,"58,000",35.22,Strong Buy,43.31,"Jul 25, 2024"
178.39M,"1,116,866",3.46B,$9.36,"1,032",195.22,Buy,216.21,"Aug 5, 2024"
125.00M,"2,486,838",1.58B,n/a,"38,000",268.55,Buy,390.74,"Aug 29, 2024"
557.50M,"3,282,303",1.86B,$2.19,"11,311",60.12,Buy,63.14,"Oct 25, 2024"
428.36M,"5,128,320",1.94B,n/a,"30,100",76.36,Buy,85.79,"Jul 29, 2024"
384.40M,"2,285,803",-5.87B,n/a,"5,600",82.44,Buy,127.31,"Aug 1, 2024"
409.82M,"1,491,257",212.90M,n/a,"6,152",76.99,Strong Buy,96.14,"Jul 23, 2024"
59.80M,"109,396",-204.35M,n/a,"1,148",516.69,Strong Buy,544.06,"Jul 25, 2024"
133.58M,"1,502,535",1.11B,$2.48,"15,100",229.12,Strong Buy,254.63,"Jul 31, 2024"
727.88M,"25,725",808.96M,$0.78,"24,799",41.75,n/a,n/a,n/a
334.25M,"2,040,837",823.80M,n/a,"1,745",90.20,Buy,82.86,"Aug 7, 2024"
151.15M,"1,172,414",-73.50M,n/a,"5,962",199.43,Buy,224.58,"Sep 3, 2024"
350.65M,"3,381,407",2.68B,n/a,"39,800",85.70,Strong Buy,140.43,"Aug 22, 2024"
145.66M,"475,951",1.16B,n/a,"7,570",205.00,Buy,278.96,"Aug 1, 2024"
400.73M,"2,520,394",666.90M,n/a,"9,600",74.07,Buy,108.24,"Jul 25, 2024"
194.32M,"10,311,074",-209.99M,n/a,"1,934",150.01,Strong Buy,205.94,"Aug 1, 2024"
14.47M,"109,641",2.64B,$6.56,"16,021","2,015.05",Buy,"1,913.78","Oct 24, 2024"
107.87M,"794,911",1.13B,$4.40,"50,000",269.18,Buy,254.50,"Jul 25, 2024"
14.47M,"14,194",2.64B,$1.41,"16,021",23.55,n/a,n/a,"Jul 25, 2024"
489.00M,"3,196,385",2.69B,$1.08,"12,300",58.88,Buy,56.91,"Jul 31, 2024"
101.56M,"361,826",1.09B,$3.52,"48,000",281.46,Buy,302.00,"Jul 25, 2024"
676.08M,"3,059,998",2.16B,$1.40,"18,724",42.12,Buy,40.62,"Oct 17, 2024"
87.39M,"191,420",495.08M,n/a,"6,200",323.45,Hold,318.33,"Jul 31, 2024"
75.57M,"567,985",290.68M,n/a,"4,260",370.70,Strong Buy,358.08,"Aug 6, 2024"
175.28M,"797,403",-3.80B,n/a,"12,371",159.39,Strong Buy,184.76,"Aug 8, 2024"
651.11M,"3,410,064",1.50B,n/a,"36,249",42.18,Strong Buy,63.38,"Aug 26, 2024"
205.80M,"919,298",986.00M,$2.08,"11,800",133.12,Buy,125.13,"Aug 28, 2024"
82.82M,"226,361",714.43M,n/a,"41,100",324.16,Strong Buy,352.56,"Jul 24, 2024"
27.08B,"2,512,080",1.23B,$0.96,"96,282",9.72,Buy,7.70,"May 14, 2024"
52.29M,"68,700",530.42M,$5.10,"6,556",489.24,n/a,n/a,"Jul 25, 2024"
551.78M,"821,536",814.00M,n/a,"12,000",46.07,Buy,58.25,"Aug 6, 2024"
213.23M,"459,859",432.90M,$0.40,"1,179",117.45,Buy,118.00,"Jul 25, 2024"
107.05M,"2,439,299",1.20B,n/a,"6,700",231.07,Buy,277.74,"Jul 30, 2024"
3.33B,"15,511,757",-3.38B,$0.25,"99,952",7.40,Hold,5.90,"Oct 15, 2024"
107.47M,"499,180",514.32M,$3.92,"1,787",227.28,Strong Buy,243.54,"Jul 29, 2024"
222.60M,"883,760",1.90B,$4.96,"7,906",109.62,Hold,113.90,"Oct 25, 2024"
190.02M,"155,007",1.97B,$7.17,"8,772",127.58,Buy,147.67,"Jul 22, 2024"
1.06B,"6,415,325",1.57B,n/a,"31,591",21.22,Strong Buy,40.08,"Aug 28, 2024"
163.18M,"1,412,624",495.64M,$0.48,"6,500",135.94,Buy,138.73,"Oct 23, 2024"
343.45M,"3,170,452",-852.00M,n/a,"53,000",64.35,Buy,85.60,"Jul 31, 2024"
210.20M,"1,346,494",335.00M,$2.80,"30,000",104.41,Buy,114.94,"Jul 23, 2024"
307.79M,"6,537,833",875.37M,n/a,"7,420",70.14,Hold,75.10,"Aug 21, 2024"
112.91M,"356,576",835.50M,n/a,"6,450",190.31,Buy,183.68,"Jul 24, 2024"
120.14M,"371,785",295.41M,n/a,"7,231",177.31,Buy,200.18,"Jul 31, 2024"
1.45B,"9,251,526",1.55B,$0.62,"19,995",14.63,Buy,15.59,"Oct 18, 2024"
237.77M,"471,455",-540.45M,n/a,"6,133",88.19,Buy,109.09,"Aug 5, 2024"
159.30M,"880,183",-3.04B,n/a,"13,360",131.39,Buy,150.39,"Aug 6, 2024"
214.94M,"2,169,301",-997.30M,n/a,"211,826",97.00,Buy,142.70,"Sep 4, 2024"
156.24M,"220,324",2.15B,$3.24,"5,426",132.81,Buy,131.57,"Oct 24, 2024"
106.12M,"427,999",-523.70M,n/a,"10,600",193.82,Buy,247.31,"Aug 7, 2024"
2.45B,"33,707,131",-11.77B,n/a,"35,300",8.05,Buy,11.59,"Aug 7, 2024"
227.69M,"644,221",-229.40M,n/a,"26,127",85.82,Buy,94.07,"Sep 3, 2024"
460.23M,"1,819,857",1.50B,$0.53,"10,200",41.01,Buy,36.71,"Aug 6, 2024"
1.13B,"323,242",1.73B,$2.89,"22,261",105.74,Buy,158.50,"Jul 22, 2024"
199.12M,"1,157,296",339.90M,$0.02,"15,000",94.62,Strong Buy,111.78,"Aug 28, 2024"
884.68M,"8,868,141",290.00M,n/a,"2,200",21.12,Buy,22.81,"Aug 7, 2024"
154.30M,"973,172",2.01B,$1.84,"12,600",120.88,Hold,132.13,"Oct 16, 2024"
232.27M,"877,422",701.50M,n/a,"6,990",80.25,Buy,87.60,"Jul 29, 2024"
231.58M,"672,384",1.26B,$2.88,"19,800",79.48,Hold,84.33,"Jul 25, 2024"
235.03M,"1,019,503",279.00M,n/a,,77.50,Buy,84.00,"Aug 8, 2024"
,,,,"10,400",,,,
460.23M,"752,393",1.50B,$0.53,"26,600",38.14,n/a,n/a,"Aug 6, 2024"
245.42M,"819,396",698.30M,$1.00,"5,037",74.03,Buy,70.75,"Jul 25, 2024"
73.35M,"1,331,653",-202.95M,n/a,"9,750",247.61,Buy,361.04,"Aug 29, 2024"
51.58M,"226,094",230.00M,n/a,"56,000",351.62,Buy,347.10,"Jul 30, 2024"
47.72M,"845,569",1.26B,n/a,"34,718",378.65,Buy,487.00,"Aug 29, 2024"
101.99M,"407,868",604.33M,$1.72,"6,486",176.97,Buy,181.25,"Oct 15, 2024"
