Shares Number,Volume,Net Income,Dividends,Employee Amount,Previous Close,Analysts,Price Target,Earnings Date
63.47M,"305,559",795.95M,n/a,"23,900",27.34,Buy,46.00,"Aug 8, 2024"
190.38M,"852,274",256.59M,n/a,"4,580",90.02,Buy,106.78,"Aug 5, 2024"
74.76M,"511,698",974.41M,$1.20,"23,900",223.82,Buy,278.00,"Oct 24, 2024"
135.42M,"3,047,199",129.61M,n/a,"5,200",123.00,Buy,128.39,"Oct 24, 2024"
168.23M,"1,649,468",-276.00M,n/a,"3,400",99.01,Buy,104.53,"Aug 28, 2024"
568.58M,"455,814",266.00M,$0.20,"1,168",29.20,Buy,33.00,"Aug 8, 2024"
61.25M,"199,701",204.72M,n/a,"1,400",262.51,Strong Buy,257.43,"Oct 22, 2024"
568.27M,"1,145,060",266.00M,$0.20,"10,250",28.14,Buy,33.00,"Aug 8, 2024"
317.09M,"682,256",374.96M,$0.24,"3,293",50.22,Buy,59.57,"Aug 6, 2024"
615.53M,"3,384,228",610.00M,$0.50,"14,500",25.72,Buy,27.20,"Aug 1, 2024"
44.49M,"224,785",1.07B,n/a,"5,900",348.03,Buy,335.73,"Jul 31, 2024"
100.98M,"487,519",339.20M,n/a,"5,442",152.81,Buy,163.26,"Aug 1, 2024"
151.53M,"760,145",628.81M,n/a,"7,900",101.83,Buy,115.39,"Aug 8, 2024"
123.68M,"835,403",-292.12M,n/a,"2,200",122.71,Strong Buy,122.57,"Aug 8, 2024"
298.55M,"3,046,006",739.00M,$1.48,"103,300",50.80,Hold,46.25,"Aug 29, 2024"
517.92M,"1,241,812",539.00M,$0.72,"16,790",29.10,Buy,37.07,"Aug 7, 2024"
256.50M,"645,024",625.00M,$1.92,"7,300",58.03,Buy,58.36,"Aug 1, 2024"
57.18M,"253,745",472.89M,$3.12,"38,000",257.40,Buy,290.40,"Aug 21, 2024"
356.38M,"1,733,997",-396.90M,$1.40,18,40.25,Buy,46.62,"Aug 5, 2024"
328.83M,"3,308,035",2.94B,n/a,"12,700",43.32,Strong Buy,72.78,"Oct 15, 2024"
1.01B,"33,005,416",-5.79B,n/a,"6,000",13.96,Buy,17.90,"Aug 6, 2024"
152.81M,"233,533",691.25M,$1.29,"45,359",92.26,Hold,94.56,"Jul 22, 2024"
1.19B,"5,847,074",-646.50M,$0.48,"1,187",11.76,Hold,12.33,"Aug 8, 2024"
274.39M,"1,018,697",777.59M,$3.04,912,50.74,Buy,51.57,"Jul 25, 2024"
244.21M,"535,620",1.51B,n/a,"4,658",56.99,Buy,66.29,"Aug 6, 2024"
38.26M,"170,554",458.20M,$4.80,"11,334",358.52,Hold,344.63,"Oct 17, 2024"
37.11M,"222,517",501.97M,$2.00,"2,932",369.40,Strong Buy,410.22,"Sep 4, 2024"
63.25M,"112,896",-9.77M,$0.53,"1,314",216.23,Strong Buy,224.50,"Aug 6, 2024"
171.85M,"2,353,397",-802.69M,n/a,"2,800",78.84,Strong Buy,81.40,"Aug 8, 2024"
229.96M,"1,708,126",739.30M,$2.57,"6,450",58.53,Buy,58.33,"Aug 9, 2024"
42.84M,"117,473",245.90M,$1.62,"1,854",313.83,Strong Buy,336.00,"Jul 24, 2024"
108.84M,"499,270",681.00M,$1.00,"172,000",123.40,Strong Buy,127.10,"Oct 15, 2024"
95.37M,"544,472",47.30M,n/a,"3,000",140.56,Buy,185.41,"Aug 7, 2024"
630.39M,"3,749,942",1.68B,$1.92,"6,263",20.92,Buy,21.63,"Oct 22, 2024"
246.64M,"1,732,330",-11.96M,n/a,502,53.35,Buy,66.43,"Aug 28, 2024"
49.86M,"257,164",41.22M,n/a,"12,005",263.42,Strong Buy,280.57,"Aug 12, 2024"
397.07M,"1,433,066",959.00M,n/a,89,32.93,Strong Buy,38.80,"Jul 24, 2024"
70.04M,"404,074",395.30M,n/a,"6,263",185.04,Buy,223.43,"Aug 8, 2024"
231.44M,"3,760,083",-141.00M,n/a,"27,000",56.35,Buy,57.44,"Aug 7, 2024"
181.03M,"707,869",381.05M,$2.68,"4,200",71.42,Strong Buy,73.45,"Aug 1, 2024"
3.96B,"21,204,882",-213.00M,n/a,"3,550",3.230,Strong Buy,5.09,"Aug 15, 2024"
448.13M,"1,456,253",673.24M,$0.84,170,28.19,Strong Buy,42.00,"Aug 8, 2024"
231.44M,"577,644",-141.00M,n/a,"2,524",54.53,Buy,57.44,"Aug 7, 2024"
53.53M,"136,775",290.88M,$1.16,"5,680",235.71,Buy,242.50,"Jul 31, 2024"
701.08M,"2,004,231",770.00M,$1.27,163,17.85,Buy,19.80,"Aug 2, 2024"
102.30M,"218,454",504.33M,$5.20,"5,900",122.19,Buy,123.25,"Aug 8, 2024"
102.21M,"606,531",-53.92M,$1.20,"3,018",121.74,Strong Buy,118.45,"Jul 23, 2024"
192.60M,"1,729,081",97.30M,n/a,"7,120",64.14,Buy,71.13,"Jul 30, 2024"
3.85B,"17,196,254",1.30B,$0.11,"15,246",3.200,Hold,3.78,"Aug 1, 2024"
702.44M,"7,757,350",750.00M,$0.80,"1,225",17.41,Buy,21.06,"Jul 31, 2024"
30.93M,"138,310",339.65M,n/a,"17,000",390.91,Strong Buy,426.50,"Oct 21, 2024"
43.15M,"336,780",-13.15M,n/a,"6,840",279.88,Strong Buy,288.85,"Aug 8, 2024"
72.90M,"510,437",378.52M,$2.20,"3,206",164.63,Buy,176.45,"Aug 20, 2024"
117.28M,"595,572",332.08M,$2.48,"3,700",101.79,Hold,93.27,"Jul 31, 2024"
29.30M,"391,691",94.56M,$1.08,"6,524",403.89,Buy,374.47,"Jul 31, 2024"
8.76M,"38,202",506.48M,$3.50,"3,050","1,350.00",n/a,n/a,"Jul 31, 2024"
204.69M,"2,305,057",107.20M,n/a,"91,000",57.44,Hold,61.46,"Sep 5, 2024"
138.61M,"775,772",1.10B,$2.20,"8,384",84.69,Strong Buy,88.73,"Jul 23, 2024"
811.05M,"4,337,954",-224.00M,n/a,"49,000",14.40,Buy,32.00,"Aug 1, 2024"
58.28M,"300,100",553.62M,n/a,"12,000",199.01,Hold,200.89,"Jul 29, 2024"
158.60M,"499,175",168.07M,$0.32,"6,600",72.29,Buy,80.67,"Aug 7, 2024"
66.68M,"522,987",369.57M,$2.44,"4,576",168.59,Buy,168.86,"Jul 25, 2024"
63.53M,"423,847",396.16M,n/a,"8,700",178.26,Strong Buy,269.64,"Aug 15, 2024"
263.26M,"1,095,407",728.00M,$1.20,"14,000",42.63,Strong Buy,60.80,"Oct 24, 2024"
56.68M,"159,347",511.11M,$2.84,"61,200",197.98,Buy,218.25,"Jul 31, 2024"
184.77M,"2,162,579",-175.01M,n/a,"1,826",59.70,Strong Buy,77.64,"Jul 31, 2024"
109.78M,"376,903",219.37M,n/a,"2,271",100.00,Strong Buy,91.67,"Jul 23, 2024"
94.86M,"946,302",-26.33M,n/a,"6,669",115.52,Hold,118.53,"Jul 30, 2024"
26.52M,"185,254",380.66M,n/a,"7,970",402.33,Buy,493.93,"Oct 25, 2024"
237.12M,"592,120",756.66M,n/a,"1,952",44.67,Buy,42.83,"Jul 31, 2024"
183.17M,"309,376",-285.01M,n/a,"3,150",57.50,Strong Buy,81.08,"Aug 9, 2024"
369.90M,"3,758,456",2.91B,$1.00,"31,000",28.47,Hold,38.27,"Jul 31, 2024"
535.91M,"5,751,790",770.16M,$1.46,"30,695",19.60,Buy,25.43,"Aug 13, 2024"
73.42M,"195,592",407.50M,$0.38,"6,500",138.24,Strong Buy,157.30,"Oct 23, 2024"
154.32M,"1,038,972",-790.20M,n/a,"2,171",64.95,Strong Buy,45.25,"Aug 6, 2024"
144.69M,"3,611,635",-493.17M,n/a,"9,707",69.15,Buy,76.57,"Aug 1, 2024"
100.13M,"1,740,852",324.75M,n/a,"8,800",97.87,Buy,95.00,"Jul 29, 2024"
114.19M,"315,412",508.77M,$1.92,"1,000",85.43,Strong Buy,102.50,"Aug 7, 2024"
2.32B,"63,866,215",-2.76B,n/a,"2,620",4.200,Hold,3.55,"Aug 5, 2024"
309.12M,"9,175,021",-678.58M,n/a,"6,500",31.46,Hold,35.17,"Aug 28, 2024"
151.39M,"989,231",352.10M,$0.20,"5,502",64.20,Buy,80.38,"Aug 6, 2024"
59.66M,"245,646",372.33M,$1.00,105,162.52,Buy,180.75,"Jul 29, 2024"
131.28M,"1,753,246",438.00M,$2.30,"5,302",73.44,Buy,102.73,"Jul 29, 2024"
257.90M,"2,914,699",649.90M,n/a,514,37.32,Buy,43.22,"Jul 30, 2024"
88.72M,"530,342",306.00M,n/a,30,108.14,Buy,106.36,"Aug 7, 2024"
139.41M,"949,065",-1.04B,$2.80,720,68.02,Strong Buy,68.30,"Jul 25, 2024"
724.54M,"1,223,844",-161.69M,n/a,765,13.08,Strong Buy,14.33,"Aug 6, 2024"
55.97M,"615,254",73.45M,n/a,456,167.97,Strong Buy,179.17,"Aug 7, 2024"
61.88M,"474,008",919.68M,$5.00,"3,380",150.00,Strong Buy,201.78,"Aug 7, 2024"
65.74M,"171,301",240.49M,$1.60,"26,985",141.15,Hold,157.33,"Aug 7, 2024"
43.54M,"437,728",66.23M,n/a,"18,984",212.57,Buy,237.70,"Aug 7, 2024"
233.07M,"3,285,010",241.29M,n/a,"25,000",39.54,Strong Buy,66.93,"Aug 6, 2024"
47.45M,"186,048",221.84M,$1.60,881,194.12,Strong Buy,222.43,"Aug 1, 2024"
257.10M,"3,051,146",-1.46B,n/a,"331,000",35.60,Buy,42.90,"Aug 6, 2024"
313.33M,"880,785",523.74M,$1.56,"1,900",29.08,Strong Buy,48.00,"Aug 20, 2024"
44.48M,"18,086",242.75M,$2.00,254,199.00,n/a,n/a,"Aug 14, 2024"
126.71M,"1,827,445",352.00M,n/a,"1,900",70.82,Buy,77.10,"Aug 6, 2024"
37.75M,"198,498",262.12M,$2.96,908,235.82,Hold,239.27,"Aug 6, 2024"
863.28M,"15,834,709",-5.81B,$1.23,"5,089",10.30,Hold,16.86,"Oct 10, 2024"
142.85M,"506,167",803.00M,n/a,"6,400",62.13,Strong Buy,81.00,"Aug 8, 2024"
111.61M,"271,286",-497.19M,n/a,"3,213",79.35,Strong Buy,96.00,"Aug 6, 2024"
142.85M,"71,909",803.00M,n/a,"22,900",60.87,Strong Buy,81.00,"Aug 8, 2024"
739.52M,"2,633,838",4.74B,n/a,"7,030",11.88,Strong Buy,17.33,"Aug 8, 2024"
129.89M,"379,534",506.91M,$0.92,"13,953",67.37,Hold,70.20,"Jul 24, 2024"
55.57M,"420,134",206.77M,n/a,"27,800",156.43,Buy,177.47,"Aug 1, 2024"
137.92M,"1,482,023",540.46M,n/a,"2,083",62.92,Strong Buy,71.57,"Aug 20, 2024"
265.05M,"443,024",465.09M,$0.94,"35,300",32.59,Hold,38.33,"Aug 1, 2024"
59.39M,"978,105",811.97M,n/a,"1,504",144.69,Buy,158.40,"Aug 1, 2024"
2.34B,"831,092",-2.33B,n/a,"51,000",3.660,Strong Buy,9.60,"Oct 3, 2024"
110.01M,"1,228,495",868.64M,$1.00,"28,700",77.37,Strong Buy,118.14,"Aug 6, 2024"
85.39M,"219,528",121.22M,n/a,"1,783",99.50,Buy,101.36,"Sep 4, 2024"
56.70M,"182,909",225.40M,$0.24,"10,200",148.07,Buy,139.40,"Jul 25, 2024"
36.27M,"192,128",125.03M,n/a,"4,592",229.46,Buy,284.50,"Jul 25, 2024"
216.34M,"4,767,726",-278.00M,n/a,"21,900",38.29,Buy,53.00,"Jul 30, 2024"
246.39M,"957,567",375.97M,$0.32,"4,400",33.37,Buy,41.71,"Jul 29, 2024"
56.01M,"395,007",-1.90M,n/a,879,146.80,Buy,189.57,"Jul 30, 2024"
67.29M,"943,132",8.00M,$0.88,53,121.46,Strong Buy,146.63,"Aug 7, 2024"
128.92M,"377,085",477.62M,$1.08,373,63.48,Hold,60.00,"Oct 16, 2024"
666.71M,"24,438",-5.20B,$0.20,"2,693",24.20,Sell,12.29,"Aug 8, 2024"
1.07B,"31,194,858",-153.23M,n/a,"27,000",7.52,Buy,9.07,"Jul 30, 2024"
57.35M,"206,105",-541.12M,n/a,"18,500",139.68,Strong Buy,192.20,"Sep 3, 2024"
782.46M,"13,666,189",290.00M,$1.44,610,10.19,Buy,10.25,"Jul 22, 2024"
126.68M,"927,381",337.29M,n/a,"1,500",62.72,Buy,59.44,"Aug 6, 2024"
325.42M,"2,210,485",584.20M,n/a,"1,625",24.33,Hold,28.67,"Aug 8, 2024"
45.02M,"54,623",80.28M,$1.00,"3,400",175.72,Buy,186.00,"Jul 25, 2024"
73.16M,"383,915",500.00M,$0.25,"3,856",108.01,Strong Buy,154.00,"Jul 23, 2024"
105.67M,"203,691",-84.30M,n/a,"10,722",74.48,Strong Buy,97.00,"Aug 7, 2024"
72.19M,"266,397",71.90M,n/a,"2,402",107.00,Strong Buy,118.33,"Aug 1, 2024"
53.41M,"320,815",301.07M,n/a,"2,402",144.52,Strong Buy,143.33,"Aug 6, 2024"
84.89M,"273,827",26.71M,n/a,"2,402",90.41,Hold,90.67,"Aug 1, 2024"
81.01M,"265,144",186.37M,$0.32,"15,800",94.55,Buy,102.00,"Aug 1, 2024"
53.77M,"236,901",386.91M,n/a,"4,981",142.05,Buy,158.38,"Aug 1, 2024"
326.69M,"928,475",978.00M,n/a,"21,900",23.26,Strong Buy,28.00,"Aug 8, 2024"
326.69M,704,978.00M,n/a,"15,038",23.69,n/a,n/a,"Aug 8, 2024"
326.69M,"472,937",978.00M,n/a,"3,357",23.24,Strong Buy,35.30,"Aug 8, 2024"
60.72M,"166,162",462.48M,$1.32,"6,600",125.02,Buy,129.00,"Jul 30, 2024"
51.00M,"823,297",853.00M,n/a,"2,130",148.80,Strong Buy,145.00,"Aug 13, 2024"
666.71M,"9,363,288",-5.20B,$0.20,"2,489",11.36,Sell,12.29,"Aug 8, 2024"
475.46M,"6,797,837",-504.00M,$4.00,834,15.89,n/a,n/a,"Aug 7, 2024"
76.52M,"398,955",389.50M,$0.88,"23,500",98.39,Buy,99.36,"Oct 15, 2024"
263.70M,"338,324",188.00M,n/a,"1,800",28.42,Buy,28.50,"Jul 30, 2024"
158.90M,"877,279",-426.35M,n/a,"1,310",46.98,Buy,66.56,"Sep 3, 2024"
37.55M,"83,275",71.89M,n/a,"9,679",198.36,Strong Buy,220.25,"Jul 25, 2024"
69.43M,"611,269",428.48M,n/a,"5,000",107.16,Strong Buy,117.67,"Jul 31, 2024"
92.87M,"634,133",-5.12M,n/a,"18,450",79.91,Buy,85.56,"Jul 31, 2024"
1.72B,"9,331,395",-729.00M,n/a,378,4.300,Hold,3.75,"Jul 31, 2024"
285.25M,"1,295,756",349.99M,n/a,"9,237",25.88,Buy,27.46,"Aug 6, 2024"
147.70M,"959,481",612.00M,$1.64,"6,245",49.91,Hold,48.74,"Oct 21, 2024"
188.49M,"1,527,204",187.23M,n/a,27,38.93,Strong Buy,48.50,"Aug 1, 2024"
50.28M,"90,102",141.93M,$0.30,"5,521",145.40,Buy,153.75,"Aug 1, 2024"
167.04M,"516,192",-519.21M,n/a,"13,300",43.64,Strong Buy,49.54,"Aug 7, 2024"
72.37M,"407,794",510.86M,$2.48,"2,800",99.50,Buy,104.00,"Jul 24, 2024"
230.22M,"1,281,790",409.90M,$0.48,"9,860",31.21,Buy,38.00,"Jul 26, 2024"
110.80M,"2,320,864",-96.75M,n/a,"9,860",64.63,Strong Buy,111.78,"Jul 24, 2024"
66.50M,"271,520",599.40M,$1.80,"9,489",107.65,Strong Buy,117.85,"Oct 15, 2024"
248.98M,"1,797,584",-94.00M,n/a,"14,437",28.62,Strong Buy,30.90,"Aug 2, 2024"
61.75M,"321,569",394.92M,n/a,"23,737",113.87,Buy,172.73,"Jul 31, 2024"
365.44M,305,-2.05B,n/a,"2,744",19.14,n/a,n/a,n/a
365.44M,"984,816",-2.05B,n/a,"9,860",19.46,n/a,n/a,n/a
1.47B,"697,814",978.39M,$2.49,927,34.68,Strong Buy,36.00,"Sep 26, 2024"
32.59M,"160,151",305.33M,n/a,"132,100",213.39,Hold,216.67,"Aug 1, 2024"
679.63M,"808,432",177.51M,n/a,"2,325",8.58,Sell,10.50,n/a
322.72M,"1,619,323",-369.63M,n/a,"2,200",21.36,Buy,30.64,"Jul 31, 2024"
365.44M,"1,051,104",-2.05B,n/a,"2,992",18.84,Buy,25.50,"Jul 25, 2024"
146.21M,"566,618",-365.74M,n/a,"17,000",46.92,Buy,61.75,"Aug 1, 2024"
656.70M,"20,531,865",-121.00M,n/a,423,10.39,Buy,15.67,"Oct 17, 2024"
623.40M,"1,407,336",21.48M,n/a,"1,083",10.94,Strong Buy,13.88,"Jul 30, 2024"
201.06M,"2,634,020",-188.54M,n/a,"4,966",33.90,Hold,31.70,"Aug 29, 2024"
171.50M,"1,124,986",78.38M,$0.30,"1,468",39.69,Buy,48.58,"Jul 31, 2024"
24.79M,"102,835",194.59M,$2.80,"2,882",273.15,Buy,275.00,"Jul 30, 2024"
117.66M,"570,858",-545.28M,n/a,"3,150",57.32,Buy,78.88,"Aug 8, 2024"
48.49M,"562,306",25.03M,n/a,"33,000",138.84,Strong Buy,140.60,"Aug 5, 2024"
64.13M,"99,072",460.41M,$2.20,"24,000",104.89,Hold,101.00,"Jul 22, 2024"
35.45M,"154,503",219.36M,$1.44,"2,900",188.61,Hold,177.20,"Oct 23, 2024"
43.71M,"245,394",174.80M,n/a,"1,156",152.62,Buy,134.29,"Jul 30, 2024"
87.01M,"314,404",80.43M,n/a,267,76.62,Strong Buy,101.45,"Sep 3, 2024"
339.90M,"1,125,331",322.22M,n/a,"1,202",19.55,Buy,22.75,"Jul 23, 2024"
51.23M,"219,282",456.00M,$1.48,"6,000",129.56,Hold,127.67,"Sep 5, 2024"
35.90M,"109,782",62.17M,n/a,"2,233",183.54,Hold,175.00,"Aug 6, 2024"
137.77M,"2,417,093",189.92M,n/a,"3,800",47.78,Strong Buy,65.17,"Jul 29, 2024"
156.66M,"3,355,461",-89.34M,n/a,"2,420",41.77,Strong Buy,71.36,"Aug 6, 2024"
29.05M,"108,524",153.76M,n/a,"5,346",223.01,Strong Buy,236.60,"Aug 8, 2024"
210.14M,"280,200",360.00M,$0.92,"3,940",30.70,Hold,31.00,"Aug 7, 2024"
112.18M,"704,377",-88.35M,n/a,"4,200",57.27,Buy,56.33,"Jul 29, 2024"
53.20M,"415,027",79.40M,n/a,"8,801",119.94,Buy,156.40,"Aug 6, 2024"
114.75M,"2,220,066",287.13M,n/a,700,55.40,Hold,70.80,"Jul 31, 2024"
441.23M,"1,631,616",181.64M,n/a,"7,100",14.18,Buy,24.00,"Aug 28, 2024"
318.97M,"1,448,941",505.73M,$0.56,"11,500",19.58,Buy,19.57,"Oct 22, 2024"
58.13M,"216,470",19.25M,n/a,"1,050",107.10,Strong Buy,103.80,"Aug 1, 2024"
414.14M,"7,631,956",-551.15M,n/a,500,14.94,Strong Buy,16.54,"Aug 22, 2024"
40.53M,"207,158",168.82M,$1.96,"5,406",151.45,Hold,130.86,"Aug 6, 2024"
190.46M,"1,243,950",320.40M,$0.38,655,31.94,Buy,37.83,"Jul 24, 2024"
61.21M,"943,487",196.80M,n/a,"6,800",98.89,Strong Buy,102.25,"Aug 29, 2024"
143.44M,"2,464,935",407.51M,n/a,"30,000",42.11,Strong Buy,58.22,"Aug 1, 2024"
165.19M,"2,247,770",-28.37M,n/a,584,36.45,Strong Buy,30.38,"Sep 4, 2024"
85.41M,"912,576",129.88M,$0.12,"54,000",70.22,Buy,82.60,"Jul 24, 2024"
63.35M,"279,075",-205.49M,n/a,923,94.55,Buy,120.18,"Aug 1, 2024"
64.48M,"364,173",706.00M,n/a,"2,232",92.76,Buy,89.10,"Jul 25, 2024"
422.11M,"2,956,613",-40.00M,n/a,229,14.04,Buy,15.30,"Aug 7, 2024"
33.36M,"642,623",3.00M,n/a,"1,500",175.66,Buy,154.70,"Jul 31, 2024"
161.40M,"413,371",178.75M,n/a,"6,197",36.27,Buy,37.33,"Oct 24, 2024"
166.99M,"745,574",-109.68M,n/a,195,34.91,Strong Buy,43.00,"Aug 14, 2024"
12.11M,"27,459",181.60M,n/a,"8,063",480.97,Sell,395.67,"Jul 31, 2024"
28.73M,"124,445",105.94M,n/a,"1,302",201.58,Strong Buy,185.10,"Aug 5, 2024"
155.52M,"1,000,031",19.78M,n/a,"13,294",37.06,Buy,37.73,"Aug 7, 2024"
60.75M,"73,093",341.84M,n/a,92,93.75,n/a,n/a,"Aug 9, 2024"
409.43M,"6,003,505",-8.14M,n/a,60,13.90,n/a,n/a,"Aug 14, 2024"
61.87M,"637,328",-39.50M,n/a,376,90.60,Buy,113.78,"Aug 1, 2024"
32.44M,"66,218",116.78M,$1.19,465,172.74,Strong Buy,185.00,"Jul 26, 2024"
32.26M,"205,449",432.00M,$6.76,"4,593",171.55,Strong Buy,201.67,"Aug 8, 2024"
64.80M,"216,721",-173.59M,n/a,"13,500",85.32,Strong Buy,103.13,"Aug 8, 2024"
294.47M,"29,534,202",288.95M,n/a,"2,650",18.69,Buy,19.22,"Aug 1, 2024"
21.71M,"119,316",-510.45M,n/a,"7,802",252.74,Buy,343.83,"Aug 7, 2024"
155.70M,"226,770",666.16M,$0.74,"6,950",35.20,Buy,33.60,"Jul 31, 2024"
218.92M,"1,027,751",74.17M,n/a,"1,320",24.99,Strong Buy,35.29,"Aug 1, 2024"
92.84M,"787,572",36.00M,n/a,"4,870",58.86,Hold,74.00,"Jul 25, 2024"
60.83M,"266,990",224.06M,$1.40,"19,000",89.80,Hold,98.67,"Jul 18, 2024"
171.02M,"1,433,626",211.31M,n/a,"15,300",31.83,Strong Buy,39.50,"Jul 31, 2024"
58.21M,"177,305",117.43M,n/a,"23,000",93.29,Buy,94.10,"Aug 1, 2024"
50.73M,"132,154",104.84M,$1.12,"5,114",106.26,Strong Buy,120.00,"Oct 24, 2024"
17.13M,"19,531",78.02M,n/a,"1,276",314.57,n/a,n/a,"Jul 30, 2024"
44.75M,"144,075",237.17M,$1.52,"2,635",118.52,Strong Buy,142.50,"Oct 24, 2024"
271.68M,"736,652",-2.48B,n/a,"1,428",19.52,Buy,22.00,"Aug 9, 2024"
74.14M,"78,901",423.17M,$0.61,"1,500",71.58,Strong Buy,106.00,"Sep 6, 2024"
209.48M,"1,697,973",473.60M,$1.44,"3,212",24.97,Hold,25.04,"Oct 16, 2024"
92.10M,"425,734",-585.12M,n/a,"1,850",56.75,Strong Buy,87.47,"Aug 1, 2024"
134.90M,"503,335",358.04M,$1.48,"15,000",38.69,Hold,40.25,"Jul 25, 2024"
28.00M,"295,218",59.67M,n/a,253,185.62,Buy,187.75,"Sep 4, 2024"
141.92M,"540,296",201.42M,$0.72,"3,599",36.61,Hold,35.25,"Oct 17, 2024"
104.66M,"433,205",183.66M,n/a,"2,600",49.48,Strong Buy,44.20,"Aug 1, 2024"
102.87M,"498,002",16.73M,$1.68,623,50.21,Buy,45.90,"Aug 6, 2024"
202.71M,"1,798,231",-185.00M,$0.64,489,25.31,Buy,33.44,"Jul 31, 2024"
117.12M,"606,041",-252.45M,n/a,"2,744",43.52,Strong Buy,54.67,"Aug 9, 2024"
48.75M,"634,379",379.08M,$1.56,"1,999",104.08,Buy,101.00,"Jul 30, 2024"
15.53M,"49,445",109.63M,$0.84,"10,070",325.18,Strong Buy,n/a,"Jul 31, 2024"
107.68M,"1,156,387",230.70M,n/a,706,46.65,Strong Buy,77.75,"Jul 29, 2024"
151.48M,"17,531,419",-145.12M,n/a,"15,800",32.86,Strong Buy,30.23,"Aug 14, 2024"
113.46M,"1,023,843",685.81M,$1.60,"8,441",43.51,Hold,48.78,"Oct 17, 2024"
119.11M,"751,900",-66.17M,n/a,"10,833",41.35,Buy,52.94,"Jul 31, 2024"
58.55M,"217,015",227.41M,$1.20,"2,945",83.74,Hold,77.00,"Jul 25, 2024"
121.77M,"551,184",-332.89M,n/a,805,40.11,Strong Buy,70.18,"Aug 1, 2024"
88.11M,"332,631",498.70M,$1.32,"3,400",55.30,Sell,48.50,"Aug 8, 2024"
73.96M,"307,188",9.92M,n/a,556,65.00,Strong Buy,65.50,"Aug 7, 2024"
223.54M,"8,188,510",-1.37B,n/a,"10,000",21.50,Buy,23.08,"Aug 6, 2024"
410.16M,"11,263,145",-64.93M,n/a,207,11.68,Buy,16.17,"Aug 7, 2024"
14.67M,"47,701",882.00M,n/a,"2,202",326.60,n/a,n/a,"Jul 29, 2024"
27.53M,"201,649",158.20M,$3.60,"3,895",173.51,Buy,205.00,"Aug 22, 2024"
188.03M,"784,020",-453.82M,n/a,"1,740",25.31,Strong Buy,47.33,"Aug 1, 2024"
44.91M,"207,255",282.80M,n/a,"6,400",105.72,Strong Buy,124.63,"Oct 18, 2024"
146.37M,"541,646",-272.55M,n/a,141,32.42,Strong Buy,47.50,"Aug 6, 2024"
141.78M,"369,658",-11.38M,$0.40,"1,300",33.22,Hold,32.00,"Aug 6, 2024"
486.60M,"1,723,704",117.30M,$0.08,"2,188",9.70,Buy,11.50,"Jul 30, 2024"
217.46M,"693,662",721.08M,$0.44,"2,100",21.65,Buy,23.82,"Jul 24, 2024"
45.67M,"82,706",187.71M,$1.00,475,102.74,Buy,95.00,"Jul 23, 2024"
100.40M,"970,148",-257.60M,n/a,"5,613",46.53,Strong Buy,47.33,"Aug 12, 2024"
156.58M,"161,798",-10.82M,n/a,"1,788",29.60,Strong Buy,33.07,"Sep 3, 2024"
36.81M,"196,012",170.61M,n/a,"5,081",125.06,Hold,151.71,"Aug 6, 2024"
164.67M,"870,784",288.72M,n/a,"16,500",27.95,Buy,36.70,"Jul 24, 2024"
28.12M,"171,234",12.37M,n/a,"440,000",163.67,Strong Buy,186.78,"Jul 24, 2024"
111.07M,"339,976",493.98M,n/a,"1,548",41.43,Strong Buy,46.33,"Sep 6, 2024"
164.66M,"699,994",96.70M,n/a,"22,000",27.85,Buy,29.00,"Aug 8, 2024"
44.96M,"351,598",187.60M,n/a,"3,591",101.96,Buy,109.55,"Aug 1, 2024"
171.31M,"59,659",107.00M,n/a,"3,749",26.68,Buy,26.67,"Aug 2, 2024"
65.33M,"222,645",258.40M,$1.21,"9,500",69.95,Buy,98.00,"Sep 25, 2024"
101.63M,"941,779",-126.35M,n/a,290,44.86,Strong Buy,60.18,"Sep 5, 2024"
55.07M,"1,570,539",295.10M,n/a,565,82.46,Buy,126.95,"Aug 28, 2024"
86.35M,"363,991",368.48M,$1.60,36,52.46,Buy,53.92,"Oct 15, 2024"
509.22M,"5,554,975",363.15M,$0.44,"1,400",8.89,Hold,8.25,"Jul 25, 2024"
86.12M,"399,871",-157.91M,n/a,"3,000",51.96,Strong Buy,76.40,"Aug 6, 2024"
122.50M,"482,126",58.72M,$1.17,,36.45,Hold,36.83,"Jul 25, 2024"
45.37M,"495,199",95.61M,$1.33,407,97.97,Strong Buy,109.43,"Aug 1, 2024"
194.72M,"4,541,887",-379.18M,n/a,"1,559",22.81,n/a,n/a,"Aug 9, 2024"
166.66M,"567,086",-73.52M,n/a,624,26.39,Strong Buy,28.50,"Aug 7, 2024"
283.21M,"1,747,017",39.94M,n/a,"7,239",15.42,Buy,15.70,"Aug 5, 2024"
91.45M,"628,695",235.48M,$2.56,"13,500",47.41,Strong Buy,45.14,"Aug 5, 2024"
,,,,290,,,,
88.52M,"705,053",-265.80M,n/a,"8,509",48.69,Buy,74.38,"Aug 5, 2024"
93.58M,"134,595",176.73M,$3.25,545,45.84,Strong Sell,48.00,"Sep 5, 2024"
233.08M,"4,020,663",34.79M,n/a,"10,000",18.40,Strong Buy,15.50,"Aug 8, 2024"
306.34M,"3,325,349",347.49M,n/a,"5,800",13.94,Buy,18.54,"Aug 14, 2024"
126.39M,"1,663,026",-33.80M,n/a,"3,000",33.69,Buy,39.86,"Aug 6, 2024"
